"","web_url","pub_date","candidate","year"
"1","https://www.nytimes.com/1968/11/05/archives/analyst-of-polls-sees-triumph-by-humphrey.html","1968-11-05T05:00:00+0000","Richard+Nixon",1968
"2","https://www.nytimes.com/1968/11/05/archives/portrait-of-nixon-daughters.html","1968-11-05T05:00:00+0000","Richard+Nixon",1968
"3","https://www.nytimes.com/1968/11/05/archives/eisenhower-issues-new-nixon-appeal.html","1968-11-05T05:00:00+0000","Richard+Nixon",1968
"4","https://www.nytimes.com/1968/11/05/archives/experts-provide-clues-to-the-election.html","1968-11-05T05:00:00+0000","Richard+Nixon",1968
"5","https://www.nytimes.com/1968/11/05/archives/nixon-fund-report-filed-9-days-after-deadline-fixed-under-law.html","1968-11-05T05:00:00+0000","Richard+Nixon",1968
"6","https://www.nytimes.com/1968/11/05/archives/fortas-is-calm-over-criticism-confident-nine-old-men-will-survive.html","1968-11-05T05:00:00+0000","Richard+Nixon",1968
"7","https://www.nytimes.com/1968/11/05/archives/humphrey-assails-nixon-war-report-in-remote-debate.html","1968-11-05T05:00:00+0000","Richard+Nixon",1968
"8","https://www.nytimes.com/1968/11/04/archives/many-ifs-ahead-for-bond-market-election-and-peace-talks-are.html","1968-11-04T05:00:00+0000","Richard+Nixon",1968
"9","https://www.nytimes.com/1968/11/04/archives/many-us-troops-in-germany-favoring-nixon-get-news-of-campaign-from.html","1968-11-04T05:00:00+0000","Richard+Nixon",1968
"10","https://www.nytimes.com/1968/11/04/archives/cbs-calls-nixon-sure-of-26-states.html","1968-11-04T05:00:00+0000","Richard+Nixon",1968
"11","https://www.nytimes.com/1968/11/04/archives/nixon-has-lead-over-humphrey-in-late-survey-contest-tightens-g-o-p.html","1968-11-04T05:00:00+0000","Richard+Nixon",1968
"12","https://www.nytimes.com/1968/11/04/archives/new-orleans-paper-endorses-humphrey.html","1968-11-04T05:00:00+0000","Richard+Nixon",1968
"13","https://www.nytimes.com/1968/11/04/archives/nixon-ahead-4240-in-final-gallup-poll-nixon-ahead-4240-in-gallup.html","1968-11-04T05:00:00+0000","Richard+Nixon",1968
"14","https://www.nytimes.com/1968/11/04/archives/nixon-willing-to-go-to-saigon-or-paris-nixon-backs-peace-move-nixon.html","1968-11-04T05:00:00+0000","Richard+Nixon",1968
"15","https://www.nytimes.com/1968/11/04/archives/humphrey-prods-thieu-to-join-parley-johnson-at-humphreys-side.html","1968-11-04T05:00:00+0000","Richard+Nixon",1968
"16","https://www.nytimes.com/1968/11/04/archives/summary-of-standing-of-the-major-presidential-candidates-in-the-50.html","1968-11-04T05:00:00+0000","Richard+Nixon",1968
"17","https://www.nytimes.com/1968/11/04/archives/johnson-hails-humphrey-at-rally-in-astrodome.html","1968-11-04T05:00:00+0000","Richard+Nixon",1968
"18","https://www.nytimes.com/1968/11/04/archives/news-summary-and-index-monday-november-4-1968.html","1968-11-04T05:00:00+0000","Richard+Nixon",1968
"19","https://www.nytimes.com/1968/11/04/archives/wallace-bargaining-position-wallace-repeats-stand-on-bargaining.html","1968-11-04T05:00:00+0000","Richard+Nixon",1968
"20","https://www.nytimes.com/1968/11/04/archives/el-tiempo-survey-shows-puerto-ricans-for-humphrey.html","1968-11-04T05:00:00+0000","Richard+Nixon",1968
"21","https://www.nytimes.com/1968/11/04/archives/obrien-says-polls-confirm-new-gains.html","1968-11-04T05:00:00+0000","Richard+Nixon",1968
"22","https://www.nytimes.com/1968/11/04/archives/2-papers-in-chicago-come-out-for-nixon.html","1968-11-04T05:00:00+0000","Richard+Nixon",1968
"23","https://www.nytimes.com/1968/11/04/archives/corporate-earnings-up-12-in-3d-period-company-profits-climb-in.html","1968-11-04T05:00:00+0000","Richard+Nixon",1968
"24","https://www.nytimes.com/1968/11/04/archives/humphrey-is-ahead-in-news-state-poll.html","1968-11-04T05:00:00+0000","Richard+Nixon",1968
"25","https://www.nytimes.com/1968/11/04/archives/survey-sees-democrats-retaining-congress-rule.html","1968-11-04T05:00:00+0000","Richard+Nixon",1968
